Experiment,Dataset,NKeys,Threads,MemThreads,LoadFactor,MeanThroughput(MOPs),MaxThroughput(MOPs),MinThroughput(MOPs),MeanLatency(us),P95Latency(us),P99Latency(us),P999Latency(us)
"1MN 1CN 1 thread",fb,50000000,1,1,0.95,4.803009,4.810503,4.737721,0.12609611,0.20000000,0.40000000,0.50000000
"1MN 1CN 4 thread on CPU",fb,50000000,4,1,0.95,5.573481,5.589312,5.511818,0.29209261,0.20000000,0.40000000,0.50000000
"1MN 1CN 2 thread on different CPU",fb,50000000,2,1,0.95,9.236202,9.257968,9.075710,0.13257805,0.20000000,0.40000000,0.50000000
"1MN 1CN 4 thread on different CPU",fb,50000000,4,1,0.95,17.901245,17.921870,17.778134,0.13739193,0.20000000,0.40000000,0.60000000
"1MN 1CN 8 thread on different CPU",fb,50000000,8,1,0.95,35.748750,35.799831,35.504322,0.13923401,0.30000000,0.50000000,0.60000000
"1MN 1CN 16 thread on different CPU",fb,50000000,16,1,0.95,70.437488,71.124996,69.838508,0.14028744,0.30000000,0.50000000,0.70000000
"1MN 1CN 32 thread on different CPU",fb,50000000,32,1,0.95,118.107841,121.041608,117.107331,0.15373414,0.30000000,0.50000000,0.70000000
"Mem_threads=2",fb,50000000,32,2,0.95,119.454307,122.107890,118.421169,0.15333396,0.30000000,0.50000000,0.70000000
"Mem_threads=3",fb,50000000,32,3,0.95,118.379715,121.540291,117.320380,0.15308356,0.30000000,0.50000000,0.70000000
"KV=20M",fb,20000000,32,1,0.95,149.265985,153.145153,148.406060,0.10771292,0.20000000,0.20000000,0.50000000
"KV=80M",fb,80000000,32,1,0.95,100.620855,100.671394,100.357744,0.19949005,0.40000000,0.60000000,0.80000000
"Loadfactor=0.75",fb,50000000,32,1,0.75,124.817061,124.916794,123.645422,0.14071676,0.30000000,0.50000000,0.70000000
"Loadfactor=0.85",fb,50000000,32,1,0.85,121.532295,121.622408,120.487734,0.14645452,0.30000000,0.50000000,0.70000000
"1MN 1CN 1 thread",osm,50000000,1,1,0.95,4.796490,4.802893,4.723689,0.12594474,0.20000000,0.40000000,0.50000000
"1MN 1CN 4 thread on CPU",osm,50000000,4,1,0.95,5.614227,5.633232,5.537570,0.29056703,0.20000000,0.40000000,0.50000000
"1MN 1CN 2 thread on different CPU",osm,50000000,2,1,0.95,9.345529,9.359063,9.224239,0.13007312,0.20000000,0.40000000,0.50000000
"1MN 1CN 4 thread on different CPU",osm,50000000,4,1,0.95,17.938637,17.953376,17.784801,0.13684964,0.20000000,0.40000000,0.50000000
"1MN 1CN 8 thread on different CPU",osm,50000000,8,1,0.95,35.571743,35.598071,35.294189,0.14016196,0.30000000,0.50000000,0.60000000
"1MN 1CN 16 thread on different CPU",osm,50000000,16,1,0.95,70.129254,70.172659,69.548811,0.14081806,0.30000000,0.50000000,0.70000000
"1MN 1CN 32 thread on different CPU",osm,50000000,32,1,0.95,118.017386,118.087431,117.035669,0.15341853,0.30000000,0.50000000,0.70000000
"Mem_threads=2",osm,50000000,32,2,0.95,120.604088,120.695758,119.594360,0.15286443,0.30000000,0.50000000,0.70000000
"Mem_threads=3",osm,50000000,32,3,0.95,118.392320,119.317057,117.540478,0.15358525,0.30000000,0.50000000,0.70000000
"KV=20M",osm,20000000,32,1,0.95,150.242472,154.659289,149.295973,0.10657178,0.10000000,0.20000000,0.50000000
"KV=80M",osm,80000000,32,1,0.95,101.689501,101.755651,101.426030,0.20008580,0.40000000,0.60000000,0.80000000
"Loadfactor=0.75",osm,50000000,32,1,0.75,124.981784,125.142755,123.783862,0.14032258,0.30000000,0.50000000,0.70000000
"Loadfactor=0.85",osm,50000000,32,1,0.85,121.216484,121.277957,120.143975,0.14735936,0.30000000,0.50000000,0.70000000
