second,throughput_ops,latency_us
0,20346425,0.322642
1,20386954,0.362464
2,20266995,0.324498
3,20191908,0.325998
4,13022235,0.327645
5,16737771,0.575837
6,18539761,0.360995
7,18422922,0.409106
8,18354468,0.41094
9,18282187,0.367176
10,17545040,0.433152
11,17357629,0.390195
12,4917010,0.584127
13,10989628,1.16959
14,18210202,0.368737
15,18090427,0.417958
16,18026971,0.419757
17,17967005,0.421477
18,17925830,0.375757
19,17883086,0.376734
20,17841391,0.377869
21,17506494,0.38632
22,17017399,0.399299
23,17010185,0.499316
24,16976868,0.400381
25,14309778,0.474596
26,0,0
27,282774,60.2115
28,17953699,0.3751
29,17775043,0.379492
30,17715618,0.38099
31,17680405,0.429593
32,17676709,0.382078
33,17621157,0.383432
34,17594277,0.384131
35,17348699,0.439162
36,16859701,0.403835
37,16846967,0.40415
38,16835346,0.455008
39,16819418,0.506198
40,16814823,0.405109
41,16798887,0.405561
42,16813159,0.405175
43,16112353,0.425729
44,2379580,0.803477
45,0,0
46,0,0
47,0,0
48,14026544,2.69389
49,17432408,0.388246
50,16896073,0.402696
51,16875383,0.403178
52,16862667,0.454035
53,16835939,0.404324
54,16830669,0.404536
55,16810357,0.455649
56,16831508,0.404481
57,16806272,0.405228
58,16815620,0.404956
59,16831635,0.45513
60,16794663,0.405559
61,16802912,0.405319
62,16792490,0.405603
63,16771901,0.406129
64,16658666,0.409382
65,15978910,0.429725
66,10662786,0.6025
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,2461453,26.9626
75,17005630,0.399624
76,16892980,0.402794
77,16868199,0.403508
78,16834416,0.404417
79,16814032,0.455715
80,16817873,0.404996
81,16785764,0.405929
82,16790190,0.405762
83,16776878,0.406085
84,16790382,0.405713
85,16786465,0.405905
86,16764023,0.406422
87,16794722,0.405575
88,16782608,0.405996
89,16771614,0.406274
90,16791461,0.405641
91,16774581,0.406204
92,16782605,0.405953
93,16772857,0.406178
94,16784475,0.405968
95,16790505,0.405727
96,16786463,0.456578
97,16805458,0.405253
98,16787532,0.405765
99,16779221,0.456795
100,16789739,0.405706
101,16778897,0.406069
102,16784476,0.405962
103,16471422,0.414904
104,15962954,0.483833
105,15988451,0.483095
106,15616992,0.441298
107,5888452,0.442953
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
