nkeys,load_factor,num_buckets,seeds_MB,othello_MB,total_MB
20000000,0.80,8388608,8,7.46669,15.4667
40000000,0.80,16777216,16,14.9334,30.9334
60000000,0.80,33554432,32,29.8668,61.8668
80000000,0.80,33554432,32,29.8668,61.8668
100000000,0.80,33554432,32,29.8668,61.8668
20000000,0.85,8388608,8,7.93336,15.9334
40000000,0.85,16777216,16,15.8667,31.8667
60000000,0.85,33554432,32,31.7334,63.7334
80000000,0.85,33554432,32,31.7334,63.7334
100000000,0.85,33554432,32,31.7334,63.7334
20000000,0.90,8388608,8,8.40002,16.4
40000000,0.90,16777216,16,16.8,32.8
60000000,0.90,16777216,16,16.8,32.8
80000000,0.90,33554432,32,33.6001,65.6001
100000000,0.90,33554432,32,33.6001,65.6001
20000000,0.95,8388608,8,8.8667,16.8667
40000000,0.95,16777216,16,17.7334,33.7334
60000000,0.95,16777216,16,17.7334,33.7334
80000000,0.95,33554432,32,35.4668,67.4668
100000000,0.95,33554432,32,35.4668,67.4668
