Experiment,Workload,NKeys,Threads,MeanThroughput(MOPs),MaxThroughput(MOPs),MinThroughput(MOPs),MeanLatency(us),P95Latency(us),P99Latency(us),P999Latency(us)
"1MN 1CN 1 thread",ycsbf,50000000,1,1.970095,2.017557,1.911203,0.33466546,0.60000000,0.80000000,1.00000000
"1MN 1CN 4 thread on CPU (same core)",ycsbf,50000000,4,1.963410,2.150224,1.773823,0.79020411,0.60000000,0.80000000,1.00000000
"1MN 1CN 2 thread on different CPU",ycsbf,50000000,2,4.051207,4.129354,3.914086,0.30328128,0.60000000,0.80000000,1.00000000
"1MN 1CN 4 thread on different CPU",ycsbf,50000000,4,8.460440,8.774378,8.353700,0.27560865,0.60000000,0.80000000,1.00000000
"1MN 1CN 8 thread on different CPU",ycsbf,50000000,8,18.189070,18.586868,17.673306,0.24325086,0.60000000,0.70000000,1.00000000
"1MN 1CN 16 thread on different CPU",ycsbf,50000000,16,31.935037,34.504450,30.593142,0.26903243,0.60000000,0.80000000,1.00000000
"1MN 1CN 32 thread on different CPU",ycsbf,50000000,32,46.774937,50.103320,45.661692,0.31533092,0.70000000,0.90000000,1.20000000
"1MN 1CN 8 thread on different CPU",ycsbd,50000000,8,40.645519,40.690079,40.003948,0.08993068,0.30000000,0.50000000,0.80000000
"1MN 1CN 16 thread on different CPU",ycsbd,50000000,16,82.001537,82.088581,80.611806,0.08793047,0.30000000,0.50000000,0.80000000
"1MN 1CN 32 thread on different CPU",ycsbd,50000000,32,129.706814,135.514261,125.266325,0.08680584,0.50000000,0.70000000,1.00000000
