Experiment,Workload,NKeys,ActiveCNs,ThreadsPerCN,TotalThreads,MemThreads,Coros,TotalTput(MOPs),MeanTput(MOPs),MaxTput(MOPs),MinTput(MOPs),MeanLatency(us),P95Latency(us),P99Latency(us),P999Latency(us)
"Fig10 8CN mt1",ycsbc,50000000,8,1,8,1,2,2.447,0.306,2.447,2.447,6.023,0,0,0
"Fig10 8CN mt1",ycsbc,50000000,8,2,16,1,2,3.397,0.425,3.397,3.397,9.128,0,0,0
"Fig10 8CN mt1",ycsbc,50000000,8,4,32,1,2,4.361,0.545,4.361,4.361,15.051,0,0,0
"Fig10 8CN mt1",ycsbc,50000000,8,8,64,1,2,4.655,0.582,4.655,4.655,28.292,0,0,0
"Fig10 8CN mt2",ycsbc,50000000,8,1,8,2,2,2.414,0.302,2.414,2.414,6.106,0,0,0
"Fig10 8CN mt2",ycsbc,50000000,8,2,16,2,2,3.409,0.426,3.409,3.409,9.092,0,0,0
"Fig10 8CN mt2",ycsbc,50000000,8,4,32,2,2,4.162,0.520,4.162,4.162,15.442,0,0,0
"Fig10 8CN mt2",ycsbc,50000000,8,8,64,2,2,4.752,0.594,4.752,4.752,28.035,0,0,0
"Fig10 8CN mt3",ycsbc,50000000,8,1,8,3,2,2.505,0.313,2.505,2.505,5.916,0,0,0
"Fig10 8CN mt3",ycsbc,50000000,8,2,16,3,2,3.327,0.416,3.327,3.327,9.299,0,0,0
"Fig10 8CN mt3",ycsbc,50000000,8,4,32,3,2,4.124,0.515,4.124,4.124,15.866,0,0,0
"Fig10 8CN mt3",ycsbc,50000000,8,8,64,3,2,4.571,0.571,4.571,4.571,29.171,0,0,0
"Fig10 8CN mt4",ycsbc,50000000,8,1,8,4,2,2.601,0.325,2.601,2.601,5.730,0,0,0
"Fig10 8CN mt4",ycsbc,50000000,8,2,16,4,2,3.401,0.425,3.401,3.401,9.096,0,0,0
"Fig10 8CN mt4",ycsbc,50000000,8,4,32,4,2,4.312,0.539,4.312,4.312,15.496,0,0,0
"Fig10 8CN mt4",ycsbc,50000000,8,8,64,4,2,4.614,0.577,4.614,4.614,29.179,0,0,0
"Fig10 8CN mt1",ycsbb,50000000,8,1,8,1,2,2.475,0.309,2.475,2.475,5.978,0,0,0
"Fig10 8CN mt1",ycsbb,50000000,8,2,16,1,2,3.236,0.405,3.236,3.236,9.658,0,0,0
